East Midlands,East of England,East Scotland,London,North East England,North Scotland,North West England,South East England,South West England,West Midlands,West Scotland,Yorkshire and Humber,Isle of Man,Northern Ireland,Wales
NAN,631.0506085,1189.332191,734.8807977,975.7140882,1578.721467,1380.042127,836.3476751,922.9238127,696.6683035,1765.61798,831.9902765,1241.414601,1151.032749,1278.228898
NAN,534.0538599,1076.316146,541.2083257,817.0954786,1711.104765,1164.733358,635.7225387,963.2976268,665.3558646,1557.638161,791.4191455,1197.516241,1038.972246,1348.904808
NAN,430.8439945,1057.420871,444.1138362,851.032642,1540.792097,1045.059897,537.9089244,695.2260386,536.5366175,1255.772611,680.3093486,1083.373083,891.760086,1035.305222
NAN,749.8156939,919.1172865,739.9243453,794.6294381,1316.353596,951.8927013,884.5718152,1131.216596,704.4944645,1141.806476,713.1476219,1053.835045,1037.994722,1280.93422
NAN,704.2962475,1146.704611,760.9514695,941.0690095,1539.704914,1421.622426,868.7051783,1144.568942,812.3951265,1637.374041,937.4775364,1304.70655,1139.055652,1456.935988
NAN,654.6691566,1032.229673,636.202688,744.8155552,1365.726375,1067.567864,733.8049747,1028.467386,740.3473213,1362.961306,789.7487345,1060.649715,1153.393587,1311.693153
NAN,571.5646955,1222.085857,613.1618852,859.7907686,1902.99483,1132.435825,790.7340156,1075.142703,723.4265015,1698.536801,839.5121479,1216.036108,1084.434172,1370.324433
NAN,669.5137847,984.9386731,639.7664126,766.6740231,1598.635455,1166.848437,764.7962789,995.3210702,804.6160102,1406.729493,858.1886575,1116.872658,1111.535138,1441.583565
NAN,488.8201534,843.8589859,498.2258369,725.3310942,1217.028628,957.734636,579.4365677,733.5704866,582.217287,1157.484779,738.6334358,950.838745,1002.416007,1211.376582
NAN,597.7183271,1057.856241,605.376741,821.6548014,1337.689047,NAN,702.5132855,997.7396036,746.8555332,1475.424889,814.478434,1004.112252,992.0768501,1286.895536
