East Midlands,664.7983534,605.3976461,517.9189877,679.9519215,759.1859651,686.2524545,634.9437691,734.7163352,555.7890164,639.1946196,948.0146554,582.269167,545.9725686,824.5343416,844.2082195,787.4856302,760.2423216,750.1195961,909.6907817,762.3026776,923.6663094,826.6609083,546.2554548,715.7934671,790.4441558,476.734199,638.6936531,699.6836003,542.182351,739.5226073,622.7058969,527.8240327,640.2551654,645.7055922,667.757941,665.1874886,567.8404383,623.1229176,753.5907802,609.643623,595.4637064,839.9130587,584.1285014,557.6451073,685.7454328,696.4867987,591.0528062,730.0101607,736.0166598,576.9459557,885.7020573,616.4762524,674.6725026,745.688894,771.2765021,633.6069076,665.4552458,760.4259864,693.2060491,449.6070502,744.3552477,731.1075005,726.4950965,647.4628908,644.3087321,794.1770078,699.657986,598.5576484,802.2327976,776.60108,683.0706407,553.341524,563.0289682,728.2070551,729.9417218,732.9083644,643.6732215,778.6792814,690.6402667,735.1484016,597.9452738,547.8697707,712.8556113,585.4793551,800.6481852,566.8840738,712.5776244,601.382914,714.5346013,799.4725856,621.689939,566.9685517,824.8018335,578.0722866,692.0775409,685.4244201,806.5583875,520.3630733,901.9260003,630.17696,564.8289996,609.8319517,513.5430605,818.4373404,804.8027093,675.4793643,772.9355033,743.6023136,667.8500979,607.4751455,627.9181186,607.6628462,691.3285728,536.2105493,554.9703549,699.8728204,725.3466905,751.5461309,774.6598468,738.946226,698.958289,661.4054098,676.4062697,660.593925,742.552285,715.9475153,675.7732626,625.7963882,557.5001298,523.9728789,774.7808325,771.6352071,735.3786228,551.3524902,523.5965069,660.1157176,786.937228,765.195084,875.8540921,737.6297873,820.2708311,557.5053324,779.6142815,599.0956158,681.2268537,806.640999,786.9880729,674.8928563,609.845095,483.4985701,954.2360054,633.424341,790.8924166,624.6773229,700.0786489,668.1096055,640.0053071,913.1995904,747.4215954
East of England,631.0506085,534.0538599,430.8439945,749.8156939,704.2962475,654.6691566,571.5646955,669.5137847,488.8201534,597.7183271,887.3875137,582.2954468,466.3107893,720.5366358,731.2364987,737.3971378,693.6927056,750.5305206,736.1395976,667.5451219,784.4401715,699.3075823,486.1244851,685.9340801,652.3508236,466.1266901,615.8396672,657.467185,556.5286581,664.4680086,674.6320696,527.2799105,651.043499,558.6734223,611.6179996,558.1001045,499.9101797,559.3915524,602.825167,484.8421794,496.5754791,785.7489375,505.2126813,534.3769274,633.3334005,585.3075111,539.9494212,675.2688732,690.8547556,580.2111131,775.9405669,539.767137,633.2649566,692.7251784,746.4709531,623.6249188,669.0448137,659.5305121,547.2641197,344.9115433,633.6667948,611.05327,724.4386788,598.9391033,611.4115684,745.2961336,613.6013442,537.5015149,675.1957745,630.606346,576.6383928,470.6645109,499.7841515,642.915756,675.944942,744.2196669,513.8405534,753.988407,600.6169722,615.8580498,594.6405832,482.2094316,580.1837746,547.6424074,714.9256099,488.9933804,603.530114,490.3560721,656.053358,731.4698265,626.6330189,504.5473663,679.0100154,518.5952538,578.7274611,580.0454615,742.8933932,480.6610708,769.1726804,604.8040174,527.6904655,571.8640821,489.6189005,695.1382199,683.6018869,605.1596947,695.0910238,616.5766684,616.3568716,565.0882304,479.6090182,497.4922853,672.4489142,554.4015372,513.3156089,571.4811825,614.7035968,667.5888821,587.6691,652.6296661,656.0392831,566.4124219,636.6972489,582.6797035,641.4312636,703.7825106,629.0489325,539.0093027,483.1034809,479.4596528,700.1847547,718.7874776,617.1352225,548.8822087,457.3634154,533.5268921,712.3866788,669.8520638,778.2207919,778.1981272,706.6666189,516.458582,677.7061541,530.1522327,606.44746,689.4307641,685.0493508,595.5507913,585.0027836,453.2681581,809.8679455,560.6643623,735.6981919,583.3859426,588.2906555,603.287518,555.7843095,628.970059,695.748589
East Scotland,1189.332191,1076.316146,1057.420871,919.1172865,1146.704611,1032.229673,1222.085857,984.9386731,843.8589859,1057.856241,1668.874075,1127.454215,1097.000964,1140.530911,1312.123831,1459.488745,1058.796497,1015.88626,984.9951881,1115.760723,1295.08493,1235.674546,1172.427992,1050.949486,1088.262711,857.8434098,1089.137859,953.3810947,1174.552766,1138.423607,1057.512237,992.2860661,1248.156493,1115.702874,1054.359081,1155.779521,1119.498004,1175.875143,1341.239823,1009.033478,950.7193739,1483.330849,1001.862613,1013.556734,1193.516044,1133.204387,1036.946111,1104.708629,1162.08044,1006.817772,1197.631924,1015.371573,1140.591808,1154.634445,1453.38973,970.4368848,1083.766126,1002.833135,1180.972769,979.4372684,1013.217622,1241.709716,1170.132097,1138.406993,1277.446588,1300.612552,1389.507837,1061.920065,1237.657012,1139.221251,1170.682362,889.3386649,1232.496183,1162.223584,1039.559677,1108.610025,1275.076405,1108.823258,1089.497167,1036.610635,1010.772308,1115.313724,1130.960367,1207.829754,1115.153027,1119.902197,1371.093151,1060.822081,1187.107012,1211.951713,969.8702744,961.948182,1388.913213,842.3531052,1134.387748,1135.752014,1176.091515,978.9984914,1239.489658,1105.246324,1128.955538,1163.682849,928.714875,1112.826646,1214.079707,1173.510181,1075.733129,997.2829458,1122.756089,899.8078483,954.7603621,840.3502737,1164.680391,926.5337725,1103.937698,1163.965953,1192.607317,1152.671139,1142.450722,1095.424917,1276.966637,1090.349922,1230.054123,1264.592345,1221.239532,1070.698732,1247.02306,981.1866078,1301.078143,1108.224072,1213.404415,1247.822561,1176.664538,1161.551265,1007.704057,1126.958554,1346.768224,1264.36435,1389.454326,1036.624909,1473.527912,864.0935744,1257.86277,1188.410509,1216.366319,1192.446684,1350.63086,1329.993884,1099.818125,1396.742429,1310.26181,1098.072859,1388.385739,1405.491185,1183.782941,1062.290117,1054.239651,1222.110095,1383.755824
London,734.8807977,541.2083257,444.1138362,739.9243453,760.9514695,636.202688,613.1618852,639.7664126,498.2258369,605.376741,833.8179572,589.2257066,504.8829,722.8084424,691.645728,757.4829236,761.4341404,839.441146,758.3018999,691.5132126,691.026912,606.7912536,501.0754856,675.0951955,667.191894,511.1339026,695.8232654,626.3652301,546.4415032,695.948985,590.5656,510.7825174,707.9782658,539.5111348,611.3506428,576.5957336,457.2626844,565.1539303,581.759555,507.9393119,529.0265869,948.0134517,540.9729547,572.4160591,626.1475691,575.8312546,594.1058178,655.4564389,667.679539,605.8922406,696.1006413,575.387828,660.6590274,806.3205558,804.9120911,696.8376573,749.2376967,645.5066676,594.5045229,346.9817446,632.6694235,664.9929969,825.5613744,649.3158222,701.7335094,835.4183799,684.2942286,587.2616334,675.8354743,623.6702413,595.7164145,459.1387326,546.0439758,698.972701,664.0612631,782.1611874,526.0557175,778.8582744,658.631073,685.2397721,594.480621,548.810922,550.8087703,534.1116562,753.7610986,526.6076856,612.2549492,506.2156116,661.5071725,846.9567943,643.835716,530.2602641,693.3525011,547.3977454,627.9439403,574.5022817,809.9500482,503.1168842,807.5130564,628.9118938,575.8923915,593.7586446,550.7403186,705.3251765,740.0576543,706.4946355,783.3820623,563.5901349,656.7953297,624.2965399,495.8390032,501.2474357,773.5739488,608.9684467,503.4567332,665.2825881,634.7102225,741.2512729,594.3220215,696.3723795,714.0017401,568.0954184,669.5541706,584.2534712,684.9710177,702.0348103,609.9979992,570.4866136,505.1579,548.3326737,693.0087605,690.0796716,666.6820369,580.366694,459.8737183,532.4846128,728.0860358,667.1290835,904.6876761,788.7669243,833.9834735,493.8923334,639.0871495,472.1131119,637.7877703,663.1723914,652.8603342,682.4361344,562.7243512,514.8035429,812.0614452,648.15551,818.2350764,578.7765722,608.0989787,615.8935561,615.6623363,688.6266125,713.9969864
North East England,975.7140882,817.0954786,851.032642,794.6294381,941.0690095,744.8155552,859.7907686,766.6740231,725.3310942,821.6548014,1245.286401,718.5642187,794.9437326,847.631048,994.0856869,1096.241772,899.7916556,775.968463,918.0967022,1023.626964,992.0627566,854.8378861,753.3391338,751.8611349,1034.369706,705.9665798,832.2329283,744.5006621,839.8536818,878.5851211,861.1522054,685.392687,870.549877,935.9277216,843.9006466,806.4788145,765.5003443,839.3832861,1104.294508,815.2864076,687.7579622,1087.337009,701.9122493,707.2824026,887.2168037,851.8713979,732.4447101,912.5829369,866.7590903,859.403268,986.9104708,797.6177796,884.7456956,828.8554755,1062.4777,869.7433843,823.5417493,849.7914231,893.4503524,735.4506083,848.4063664,884.1031045,891.9091909,933.0413814,929.1161514,1025.123289,939.8819556,760.2828623,1011.830087,925.5531404,819.1868589,750.3230832,951.0465305,900.6018677,921.1165168,913.3910592,858.2831221,924.8542026,825.8316627,801.2430504,704.960816,810.3467454,905.2049907,814.5842631,841.4745979,868.5718904,951.0419008,699.8259196,949.3725366,934.7789697,789.0919693,698.6047067,1035.948991,653.836049,859.7780931,790.9816056,913.8886395,663.8564782,992.1562222,822.0464999,773.1971264,886.6813667,649.7981149,984.2561764,957.1463072,960.9270065,909.7498179,864.7388671,791.0661096,718.5873801,712.3016076,637.4601052,825.8635613,691.4373047,817.0168923,832.897395,933.0029634,919.2970471,896.7897636,870.1145398,806.3981401,843.1600861,835.2886863,888.3269134,921.8329151,946.8015425,879.6461925,588.7610979,832.4818997,781.1120223,831.1764829,926.5943997,838.7027452,782.1498978,694.5611415,797.2473163,1039.046823,892.1081904,1110.213879,866.4906944,1004.113553,648.26365,967.7447389,901.9242119,813.8685997,849.5483497,1091.931053,943.4880208,861.5734367,834.1725744,1176.466062,856.9959054,893.5752947,1001.588963,857.8708109,814.0294832,786.3185802,1004.358673,931.8576225
North Scotland,1578.721467,1711.104765,1540.792097,1316.353596,1539.704914,1365.726375,1902.99483,1598.635455,1217.028628,1337.689047,1761.104523,1536.737795,1616.887977,1349.100327,1408.842012,1862.42906,1462.876476,1279.315591,1408.520371,1386.670694,1673.218668,1593.363397,1605.693943,1448.821675,1426.214438,1307.383452,1431.00045,1335.329842,1663.583907,1541.216422,1546.543472,1673.589381,1576.310923,1421.024092,1583.398366,1393.496272,1800.929866,1525.188517,1734.915193,1402.421621,1348.299465,2002.895244,1553.826301,1562.958795,1724.040042,1495.217387,1526.628951,1401.869841,1556.957778,1519.951931,1685.676315,1443.967528,1558.998583,1337.132067,1612.099362,1583.271657,1618.976503,1414.061568,1535.625109,1565.14776,1439.244601,1747.261165,1508.96423,1411.485139,1546.958122,1584.857266,1733.038853,1442.082075,1516.644268,1447.035185,1634.727388,1180.03696,1581.889491,1645.575346,1332.570576,1161.046045,1972.989898,1381.217544,1443.746459,1256.623885,1533.545174,1680.234589,1565.740698,1389.527666,1460.700892,1375.631095,1789.577612,1843.320122,1774.486574,1559.029875,1472.561464,1557.289803,1780.431002,1277.04928,1663.067579,1667.29427,1365.574198,1513.27429,1157.659195,1608.163231,1635.016603,1247.563235,1465.618097,1521.42217,1629.149569,1828.2932,1322.328035,1393.612908,1716.476127,1415.798967,1248.088456,1619.392355,1669.117973,1457.927697,1397.941926,1526.311541,1487.223915,1730.176126,1671.050935,1743.050241,1781.793225,1741.797017,1554.321276,1583.888301,1799.406865,1417.011645,1711.98629,1790.853118,2234.942268,1597.630198,1998.356754,1569.49575,1803.495631,1691.988844,1339.841799,1582.398695,1929.770987,1978.264538,1803.996412,1467.896495,1575.013571,1381.583467,1918.526233,1842.599047,1824.668529,1820.85473,1859.238951,1786.818976,1292.518322,2003.403071,1641.809968,1600.769824,1867.701853,1989.620354,1630.053687,1719.627536,1493.889587,1711.928305,1970.892159
North West England,1380.042127,1164.733358,1045.059897,951.8927013,1421.622426,1067.567864,1132.435825,1166.848437,957.734636,1059.895208,1583.500261,1103.075982,1208.50471,1110.456218,1173.74804,1538.4797,1085.267166,1061.260485,1136.365134,1240.667453,1378.549398,1249.175677,1096.303182,1058.859424,1311.957395,816.9421906,1051.06411,1007.216906,1145.440345,1278.410917,1198.772988,1067.53803,1247.246398,1052.069633,1118.121454,1241.728908,1144.593189,1140.476379,1267.7053,975.0909853,935.9425232,1537.990517,1053.992726,990.5400297,1219.644927,1208.854524,1173.111771,1235.890894,1239.65768,1167.655194,1325.225985,1104.086206,1212.250331,1094.492982,1262.769741,1130.238721,1362.650482,1052.961749,1288.527382,1065.441952,1171.96487,1476.915172,1288.472932,1194.323283,1248.274433,1356.046251,1555.163748,1223.96981,1337.589537,1338.812473,1240.374664,871.6456885,1157.72521,1238.635028,1178.70618,957.5389537,1377.997759,1154.283495,1098.221012,927.5107,1123.116721,1266.425527,1269.864293,1073.223061,1307.229335,1075.284573,1292.836052,1148.630598,1343.909567,1349.498537,1083.036598,1086.030935,1642.626449,924.1680469,1150.368265,1222.540484,1247.122584,1048.779263,1323.311579,1234.739462,1157.916667,1121.550454,1044.416477,1236.809569,1319.342174,1428.244814,1236.571598,1081.997311,1209.777115,958.901544,1138.312682,981.5984618,1273.698476,1023.18977,1048.804405,1197.81181,1156.626838,1269.589606,1384.489684,1372.850712,1295.089507,1220.360701,1146.922251,1197.283574,1311.139529,1253.855868,1314.7663,1074.176791,1257.17878,1107.8309,1234.837159,1155.932214,1339.816935,1012.362199,947.3557533,1100.853495,1403.188273,1335.822258,1576.623366,1100.196416,1408.698025,996.0362419,1348.1775,1122.935017,1334.855686,1283.752759,1470.897927,1328.532206,982.1954737,1355.730322,1590.269994,1143.850369,1303.25175,1500.859476,1245.142665,1361.100963,1107.424509,1444.492257,1583.359215
South East England,836.3476751,635.7225387,537.9089244,884.5718152,868.7051783,733.8049747,790.7340156,764.7962789,579.4365677,702.5132855,1034.070308,699.6037053,683.4694075,873.6253329,865.9188304,925.2263053,806.1841417,887.8596363,867.648855,782.2937943,866.7763068,732.2402743,608.1958907,744.1440121,840.0382852,595.8049225,761.7193148,684.2545822,638.9060626,865.1827133,664.4418414,610.0782231,880.4711451,672.5536641,713.6818798,715.1916857,584.359697,652.8340504,739.5920645,603.5235877,608.0451303,998.2941307,681.2903009,652.3056667,751.8468285,694.5521061,661.949409,818.3276157,844.2719324,733.8996565,906.8212294,747.6752773,832.442104,940.3349132,890.1610158,752.6717037,754.2934111,778.0889639,709.6746313,397.9280508,757.129471,794.7436691,936.4682472,838.5801573,758.9963295,977.8869197,817.1027597,730.6790084,789.2597348,712.8561562,727.824979,588.0265033,706.4127794,917.6157909,794.6842927,912.4260624,639.0247194,886.3234529,751.3440422,733.7956739,699.0308331,632.7239315,657.6248085,641.9721169,888.9944734,620.2489739,751.2056998,637.0402953,802.8059962,1025.163059,751.6627199,602.5947053,834.8559385,669.2905354,690.6923636,712.8904738,884.0793391,694.9925982,1052.010933,727.1011589,668.4551947,753.7521054,632.6830589,794.9761012,894.1785949,834.7525278,852.4164437,705.9292217,766.5748834,692.9976841,676.5364681,547.8980337,944.970166,701.5738343,650.4593237,790.5295793,695.0452103,827.1731356,749.0263703,811.439721,807.5248835,679.5049979,785.0405902,718.7283371,806.4141807,771.8321657,696.7056682,661.4474097,634.805352,663.6003609,804.5497063,836.859764,849.0698907,724.4727048,593.5100203,708.5451909,848.6609227,808.3530409,1075.591792,856.5288507,963.8081427,624.319782,741.5695354,588.5822025,772.7238066,835.4321137,836.2647382,798.3473875,685.0101312,604.3948023,983.4686316,785.7729147,1009.944437,720.38373,710.8329902,706.4686673,737.5256452,832.5207116,884.1109657
South West England,922.9238127,963.2976268,695.2260386,1131.216596,1144.568942,1028.467386,1075.142703,995.3210702,733.5704866,997.7396036,1412.706143,951.3216192,1021.263364,1183.2938,1215.82082,1196.467106,1068.995366,1084.551528,1007.881169,994.9598754,1262.30286,998.5749113,867.9298152,990.543848,1091.552017,710.9409623,978.0573994,835.1950716,867.6005109,1126.991305,747.4785074,800.3748004,1119.924972,944.9663885,797.3401227,1050.055666,810.8475104,893.3275368,1031.841998,842.4548561,823.2893557,1258.432574,959.712821,801.2326525,939.4036301,963.1365971,786.7525612,940.5207738,1175.601985,911.8622895,1269.921388,987.8405879,1175.050129,1149.744191,1146.178548,929.7086569,1045.782869,1032.363255,1050.110308,601.6565492,1023.881851,1049.458318,1261.338667,1076.73334,929.4599563,1165.697373,1089.367201,1086.057851,1121.295274,1025.90571,1032.382052,782.1991218,942.641937,1111.831947,1032.987442,1096.099784,952.5337003,1102.46944,982.0388882,878.204948,931.8933754,955.1251292,933.2994073,925.1062928,1204.039219,900.0970619,1039.582554,842.8025713,1168.534907,1173.659684,1037.241855,775.0166816,1131.49564,892.8075099,875.8970003,973.132194,1124.279263,1063.254189,1363.397608,940.3296095,853.806443,984.9716628,752.0799048,1089.571044,1115.196519,1098.677534,1037.23751,958.7397726,1023.615627,891.2850692,1058.530868,770.8070967,1218.333314,792.7282815,883.7738635,1045.032568,935.3759131,1087.825689,1025.048719,1111.579572,1096.304898,925.7806743,1012.571305,959.9546153,1118.639141,903.5272711,1002.186326,951.4053825,932.7585327,913.9745485,985.4763893,1124.447212,1187.76391,1005.474473,899.7919102,990.84046,1189.40764,1178.119725,1340.985603,965.7607438,1257.558737,801.8354975,996.7046267,897.7316218,966.0943414,1137.498443,1152.175583,1091.109799,818.9157486,843.9856414,1371.948919,1030.440738,1218.491936,1006.808534,947.7030376,971.5281108,1021.405822,1158.169842,1225.479814
West Midlands,696.6683035,665.3558646,536.5366175,704.4944645,812.3951265,740.3473213,723.4265015,804.6160102,582.217287,746.8555332,1151.701836,664.0217288,688.5434764,931.6848484,905.8630648,903.9690115,894.954094,836.8488652,871.1107338,745.1824845,1009.381826,790.8762188,646.969013,748.8194616,877.0564157,545.0634366,711.0256999,713.7859674,596.391665,825.6925839,620.7901005,581.5230794,733.0660448,645.9094494,620.8471731,715.28411,598.2246858,685.1463837,814.5468281,655.8068544,663.0823863,943.4253872,611.9822011,608.4054619,697.9817105,758.7833586,687.9806505,726.00865,860.5698977,593.0084724,933.2031752,762.0494222,765.4084427,825.6696918,749.8334579,713.8434614,723.6926548,743.0059723,820.8544037,488.3850879,759.8100084,799.0895157,917.9467033,747.841507,714.7665958,883.0334517,781.8294615,741.9221456,920.8974177,870.0565328,799.2991942,583.6019166,627.7819233,792.449345,819.5088528,759.3368044,677.5961137,820.7026676,796.4741581,756.5798188,644.6365654,666.9072639,699.7544968,690.9650478,866.5828772,663.3327204,812.5330679,628.9623128,767.842826,883.1484778,715.0419146,620.1040787,887.6305993,678.215934,678.5408725,742.8311122,914.4947721,690.9974372,1025.225601,678.766628,653.4675988,640.7112401,548.0285479,833.5443488,874.659768,789.4085768,813.7654177,782.7659584,774.0908254,707.6301909,754.8216362,616.8493109,743.6383968,553.666718,678.5240978,790.6583989,700.3952427,775.765214,807.2712036,802.9081249,781.7636503,720.3657777,740.4059569,729.3197247,784.416695,733.6066814,732.4945136,706.5111009,653.2725968,631.3869285,832.2145006,775.0838596,803.5467659,661.6731874,597.2189829,713.0352504,841.2700624,915.7186896,983.1781842,765.2082651,845.3778516,580.4926112,791.5197037,678.4379683,734.6284336,917.4387902,894.8398473,747.1440724,608.4498296,515.546752,1014.313608,761.190056,905.6333287,706.8464498,753.4655946,683.2137543,703.0800238,943.680369,864.7793132
